conversation_id,system,failed_over,latency_ms,queue_wait_ms,preserved,expected_fact,reasoning,provider,turn_count,concurrency
conv-007,baseline,True,1231.71,7978.394400001001,False,Yuna Delacroix,"The assistant failed to recall the specific fact 'Yuna Delacroix' as the keynote speaker at the summit. Instead, it stated that it doesn't have access to previous conversations and asked for more context, which indicates it did not preserve the expected fact.",openai,7,100
conv-010,baseline,True,1360.94,9221.898299997092,False,Ethiopian,"The assistant explicitly states that it does not have access to previous conversations or personal preferences, and thus does not recall the expected fact that the user prefers Ethiopian cuisine. This indicates that the assistant did not successfully incorporate the expected fact into its response.",openai,9,100
conv-008,baseline,True,1547.89,6433.174799998421,False,Quorbol,"The assistant failed to recall the specific fact 'Quorbol' as the name of the new algorithm. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-003,baseline,True,1479.96,4486.435299998112,False,Moxilar,"The assistant failed to recall the specific fact 'Moxilar' as the codename for the new protocol. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-005,baseline,True,1465.57,8770.906999998559,False,Yuna Kowalski,"The assistant failed to recall the specific fact 'Yuna Kowalski' as the keynote speaker at the summit. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,7,100
conv-001,baseline,True,3550.24,939.5824999997185,False,Thai,"The assistant failed to recall the specific fact that the user prefers Thai cuisine. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,11,100
conv-006,baseline,True,1911.76,4515.244500001203,False,100.22,"The assistant did not recall the expected fact '100.22' as the locker combination. Instead, it stated that it doesn't have access to personal information and suggested checking with the relevant organization. This indicates that the assistant did not preserve the specific fact from earlier in the conversation.",openai,11,100
conv-002,baseline,True,3580.58,935.1694000013686,False,chartreuse,"The assistant failed to recall the specific fact 'chartreuse' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-009,baseline,True,1429.32,7333.781999997162,False,Cassiel Murakami,"The assistant failed to recall the specific fact 'Cassiel Murakami' as the landlord's name. Instead, it stated that it doesn't have access to personal information and suggested checking the lease agreement. This indicates that the assistant did not preserve the expected fact from earlier in the conversation.",openai,9,100
conv-004,baseline,True,1361.34,5966.509400004197,False,Zeltrixite,"The assistant failed to recall the specific fact 'Zeltrixite' as the codename for the new protocol. Instead, it stated that it doesn't have access to previous conversations and did not provide the expected fact.",openai,7,100
conv-012,baseline,True,1264.96,12293.638200004782,False,Evren Vasquez,"The assistant failed to recall the specific fact 'Evren Vasquez' as the new CEO of HelixCorp. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,7,100
conv-017,baseline,True,1801.89,13551.897399995782,False,WNNHJ7,"The assistant failed to recall the specific fact 'WNNHJ7' as the temperature ceiling for the server room. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-016,baseline,True,1346.4,13558.266900001758,False,"May 3, 1994","The assistant failed to recall the specific date 'May 3, 1994' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-014,baseline,True,2062.19,10223.364000001866,False,442.84,"The assistant failed to recall the specific building code '442.84' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and asked for the information again. This indicates that the expected fact was not preserved in the response.",openai,11,100
conv-011,baseline,True,1774.3,10573.38769999937,False,Mirren Whitmore,"The assistant failed to recall the specific fact 'Mirren Whitmore' as the author of the report. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-013,baseline,True,1203.77,12348.336600000115,False,Alaric Osei,"The assistant explicitly states that it does not have access to previous conversations and asks for the information again. It does not recall or mention the expected fact, 'Alaric Osei,' which was shared earlier in the conversation.",openai,11,100
conv-015,baseline,True,1851.15,14907.029700002075,False,Anouk Okonkwo,"The assistant failed to recall the specific fact 'Anouk Okonkwo' as the name of the doctor mentioned earlier. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,7,100
conv-022,baseline,True,1344.13,15352.769099995789,False,"June 13, 1999","The assistant failed to recall the specific date 'June 13, 1999' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have information about the warranty details, which indicates that the expected fact was not preserved.",openai,11,100
conv-021,baseline,True,1802.05,16757.156600002654,False,Nexiumium,"The assistant failed to recall the specific fact 'Nexiumium' as the name of the alien species. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-018,baseline,True,1314.04,16701.258799997253,False,Gothic horror,"The assistant failed to recall the specific fact 'Gothic horror' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,9,100
