conversation_id,system,failed_over,latency_ms,queue_wait_ms,preserved,expected_fact,reasoning,provider,turn_count,concurrency
conv-032,baseline,True,2259.29,1157.4341000000104,False,1979-11-24,"The assistant failed to recall the specific date '1979-11-24' mentioned earlier in the conversation. Instead, it claimed there was no previous message with such information, indicating it did not preserve the expected fact.",anthropic,11,100
conv-050,baseline,True,2411.3,1091.2430999999115,False,Phalixil,"The assistant failed to recall the specific fact 'Phalixil' as the currency from the game described earlier in the conversation. Instead, it stated that there was no prior context and asked for a description of the game, indicating it did not preserve the expected fact.",anthropic,9,100
conv-019,baseline,True,2497.67,936.5711000002357,False,Lapce,"The assistant claims it doesn't have information about the user's preferred text editor and asks for the information to be provided. It fails to recall or mention 'Lapce,' which was the expected fact from earlier in the conversation.",anthropic,11,100
conv-029,baseline,True,2505.0,933.1984999999986,False,"January 28, 1979","The assistant failed to recall the specific fact 'January 28, 1979' from earlier in the conversation. Instead, it stated that it does not have memory of past conversations and did not provide the expected date. Therefore, the expected fact was not preserved in the response.",anthropic,9,100
conv-002,baseline,True,2563.8,845.6279999999342,False,chartreuse,"The assistant failed to recall the specific fact 'chartreuse' as the color used for presentations. Instead, it explained its lack of memory and did not provide the expected fact.",anthropic,7,100
conv-018,baseline,True,2456.09,936.6608000001579,False,Gothic horror,"The assistant failed to recall the specific fact 'Gothic horror' as the book genre the user mentioned they only read. Instead, the assistant claimed not to have any previous messages or information about the user's preferred genre, which indicates that the expected fact was not preserved.",anthropic,9,100
conv-011,baseline,True,2537.21,848.2364999999436,False,Mirren Whitmore,"The assistant claims it has no record of the user mentioning who wrote the report and asks for the information again. This indicates that the assistant did not recall the specific fact 'Mirren Whitmore' as the author of the report, which was expected in the response.",anthropic,9,100
conv-025,baseline,True,2614.84,942.6491000001115,False,solarpunk,"The assistant failed to recall the specific fact 'solarpunk' as the book genre the user mentioned they only read. Instead, the assistant stated that it doesn't have any previous messages and asked the user to provide the information again. This indicates that the expected fact was not preserved in the response.",anthropic,11,100
conv-099,baseline,True,2455.06,1044.8331000000085,False,"March 19, 1998","The assistant failed to recall the specific fact 'March 19, 1998' as the project deadline. Instead, it stated that it did not have any prior context about a project deadline, indicating it did not remember or recognize the expected fact from earlier in the conversation.",anthropic,7,100
conv-094,baseline,True,2316.83,1217.8296999997929,False,Vietnamese egg coffee,"The assistant failed to recall the specific fact 'Vietnamese egg coffee' from earlier in the conversation. Instead, it stated that it did not have any prior information about the user's coffee preference, which indicates that the expected fact was not preserved.",anthropic,7,100
conv-076,baseline,True,2384.03,1199.6249000000557,False,literary fiction,"The assistant failed to recall the specific fact that the user only reads 'literary fiction.' Instead, it stated that it did not have any previous context about the user's reading preferences, which indicates that the expected fact was not preserved.",anthropic,7,100
conv-022,baseline,True,2833.99,943.7151000002759,False,"June 13, 1999","The assistant claims not to have any prior information about the warranty or its expiration date, which contradicts the expected fact of June 13, 1999. Therefore, the assistant did not successfully recall or incorporate the specific fact from earlier in the conversation.",anthropic,11,100
conv-100,baseline,True,2644.91,1042.6486000001023,False,Zephyr Hartmann,"The assistant claims it has no prior context and does not recall the specific fact 'Zephyr Hartmann' as the author of the report. Therefore, it fails to incorporate the Expected Fact into its response.",anthropic,7,100
conv-035,baseline,True,2673.88,1149.6901999997217,False,"November 17, 1990","The assistant failed to recall the specific lease renewal date of November 17, 1990, which was mentioned earlier in the conversation. Instead, it stated that no lease renewal date was mentioned and asked for more details. This indicates that the expected fact was not preserved in the response.",anthropic,9,100
conv-069,baseline,True,2738.79,1077.010599999875,False,Bastian Mbeki,"The assistant failed to recall the specific fact 'Bastian Mbeki' as the author of the report from earlier in the conversation. Instead, it stated that it doesn't have memory of past interactions and did not provide the expected fact.",anthropic,9,100
conv-028,baseline,True,2807.24,926.5889999997871,False,cyberpunk,"The assistant failed to recall the specific fact 'cyberpunk' as the book genre the user mentioned they only read. Instead, it stated that there was no previous context about the user's reading preferences, which indicates it did not preserve the expected fact.",anthropic,7,100
conv-016,baseline,True,2950.49,927.3125000001437,False,"May 3, 1994","The assistant failed to recall the specific date 'May 3, 1994' mentioned earlier in the conversation. Instead, it stated that it did not have any previous information about the conference date, which indicates that the expected fact was not preserved.",anthropic,9,100
conv-098,baseline,True,2624.91,1191.8080000000373,False,"November 27, 2007","The assistant failed to recall the specific fact 'November 27, 2007' as the project deadline. Instead, it stated that it did not have any prior context about a project deadline, which indicates it did not preserve the expected fact from earlier in the conversation.",anthropic,11,100
conv-010,baseline,True,2999.09,916.0743999998667,False,Ethiopian,"The assistant failed to recall the specific fact that the user prefers Ethiopian cuisine. Instead, it stated that there was no previous message mentioning a cuisine preference, which indicates it did not preserve the expected fact.",anthropic,9,100
conv-090,baseline,True,2732.92,1135.1970999998357,False,Elara Petrov,"The assistant failed to recall the specific fact 'Elara Petrov' as the person who wrote the report. Instead, it stated that it doesn't have memory of past conversations and did not provide the expected fact from earlier in the conversation.",anthropic,11,100
conv-008,baseline,True,3114.22,864.3407999997412,False,Quorbol,"The assistant claims it doesn't have any previous messages or context to reference, which means it fails to recall the specific fact 'Quorbol' as the name of the new algorithm. Therefore, the expected fact is not preserved in the response.",anthropic,9,100
conv-089,baseline,True,2731.36,1123.6857000001187,False,Plexarol,"The assistant failed to recall the specific word 'Plexarol' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have a record of the previous conversation and asked for the word again. This indicates that the expected fact was not preserved in the response.",anthropic,9,100
conv-072,baseline,True,2792.85,1156.8759999998279,False,"August 20, 1977","The assistant failed to recall the specific date 'August 20, 1977' mentioned earlier in the conversation. Instead, it stated that there was no previous message mentioning a historical event or date, which indicates it did not preserve the expected fact.",anthropic,7,100
